security_id,underlying_symbol_raw,effective_from,effective_to,lot_size,source_as_of_date,source_contract_file,source_sha256,evidence_status
,011NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,021NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,031NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,041NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,051NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,061NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,071NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,081NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,091NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,101NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,111NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,121NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,131NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,141NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,151NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,161NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,171NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,181NSETEST,2024-07-01,2026-08-12,50,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
,ETERNAL,2025-04-08,2025-04-08,2000,2025-04-08,NSE_FO_contract_08042025.csv.gz,9786f7d55f3d7f4cb2ac2f1d2e5dd810c9c2e8414ddabce52249699151675837,OFFICIAL_DAILY_CONTRACT_FILE
,GMRAIRPORT,2024-12-10,2024-12-10,5625,2024-12-10,NSE_FO_contract_10122024.csv.gz,8e89f58d49b82810744f6fddc7689075f8e2bbb557da79fce8e83f8fe48299c5,OFFICIAL_DAILY_CONTRACT_FILE
,LTM,2026-02-26,2026-02-26,150,2026-02-26,NSE_FO_contract_26022026.csv.gz,d3f7e77c080de119d27fbe678484e1ddf8ea594b048e89022b8995c645ef0fa9,OFFICIAL_DAILY_CONTRACT_FILE
,TMPV,2025-10-23,2025-10-23,800,2025-10-23,NSE_FO_contract_23102025.csv.gz,8f63c5892f2884748a999c600492b99090036da34d864bf17a840b1f77013c06,OFFICIAL_DAILY_CONTRACT_FILE
SEC_0036bd1605970750,UBL,2024-07-01,2025-02-25,400,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_02c6f7dd70ed9f59,LT,2024-07-01,2025-06-25,150,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_02c6f7dd70ed9f59,LT,2025-04-24,2026-08-12,175,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_0477b2eef5d15298,GLENMARK,2024-10-31,2025-06-25,325,2024-10-31,NSE_FO_contract_31102024.csv.gz,1e900d0dbfd98cec9727a5d260781cf6e10eb8ae62942b405b6d33ae421cf7fe,OFFICIAL_DAILY_CONTRACT_FILE
SEC_0477b2eef5d15298,GLENMARK,2025-04-24,2026-08-12,375,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_0477b2eef5d15298,GLENMARK,2024-07-01,2024-12-24,725,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_052933c4ce90af33,ADANIPORTS,2024-07-01,2025-06-25,400,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_052933c4ce90af33,ADANIPORTS,2025-04-24,2026-08-12,475,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_066f74fd86fba4b5,LTTS,2024-07-01,2025-03-26,100,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_073170685dcaa040,NUVAMA,2025-07-31,2025-12-23,75,2025-07-31,NSE_FO_contract_31072025.csv.gz,8beb1ff9cdfd822b710d805037ab6b177c9130300337ea2cd621d1f4e40edd9b,OFFICIAL_DAILY_CONTRACT_FILE
SEC_073170685dcaa040,NUVAMA,2025-10-28,2025-12-23,100,2025-10-28,NSE_FO_contract_28102025.csv.gz,35279f961edc944bfaee7f67aeb838605ba1901e465a216d724f7106ffbfb4c0,OFFICIAL_DAILY_CONTRACT_FILE
SEC_073170685dcaa040,NUVAMA,2025-12-24,2025-12-29,375,2025-12-24,NSE_FO_contract_24122025.csv.gz,08f04881fe428e395c256856863705b7037ccbefbe07f1523a17284fda59d8a3,OFFICIAL_DAILY_CONTRACT_FILE
